p,rho,num.samples,alt.hyp,Method,Type,Prob
0.1,0,30,2,BH,FDR,0
0.1,0,30,2,BH,FNR,0.6666666666666666
0.1,0,30,2,Lfdr,FDR,0
0.1,0,30,2,Lfdr,FNR,1
0.1,0,30,2,adaptBH,FNR,1
0.1,0,30,2,adaptBH,FDR,0
0.1,0,30,2,Bonf,FNR,0.6666666666666666
0.1,0,30,2,Bonf,FDR,0
0.1,0,30,2,None,FNR,0.3333333333333333
0.1,0,30,2,None,FDR,0.3333333333333333
0.1,0.2,30,2,BH,FDR,0
0.1,0.2,30,2,BH,FNR,0.5
0.1,0.2,30,2,Lfdr,FDR,0
0.1,0.2,30,2,Lfdr,FNR,0.75
0.1,0.2,30,2,adaptBH,FNR,0.5
0.1,0.2,30,2,adaptBH,FDR,0
0.1,0.2,30,2,Bonf,FNR,0.5
0.1,0.2,30,2,Bonf,FDR,0
0.1,0.2,30,2,None,FNR,0.25
0.1,0.2,30,2,None,FDR,0
0.1,0.4,30,2,BH,FDR,0
0.1,0.4,30,2,BH,FNR,0.5
0.1,0.4,30,2,Lfdr,FDR,0
0.1,0.4,30,2,Lfdr,FNR,1
0.1,0.4,30,2,adaptBH,FNR,0.5
0.1,0.4,30,2,adaptBH,FDR,0
0.1,0.4,30,2,Bonf,FNR,0.5
0.1,0.4,30,2,Bonf,FDR,0
0.1,0.4,30,2,None,FNR,0
0.1,0.4,30,2,None,FDR,0.3333333333333333
0.1,0.6000000000000001,30,2,BH,FDR,0
0.1,0.6000000000000001,30,2,BH,FNR,0.6666666666666666
0.1,0.6000000000000001,30,2,Lfdr,FDR,0
0.1,0.6000000000000001,30,2,Lfdr,FNR,1
0.1,0.6000000000000001,30,2,adaptBH,FNR,0.3333333333333333
0.1,0.6000000000000001,30,2,adaptBH,FDR,0
0.1,0.6000000000000001,30,2,Bonf,FNR,0.6666666666666666
0.1,0.6000000000000001,30,2,Bonf,FDR,0
0.1,0.6000000000000001,30,2,None,FNR,0
0.1,0.6000000000000001,30,2,None,FDR,0.4
0.1,0.8,30,2,BH,FDR,0
0.1,0.8,30,2,BH,FNR,1
0.1,0.8,30,2,Lfdr,FDR,0
0.1,0.8,30,2,Lfdr,FNR,1
0.1,0.8,30,2,adaptBH,FNR,1
0.1,0.8,30,2,adaptBH,FDR,0
0.1,0.8,30,2,Bonf,FNR,1
0.1,0.8,30,2,Bonf,FDR,0
0.1,0.8,30,2,None,FNR,1
0.1,0.8,30,2,None,FDR,0
0.1,0,30,2,BH,FDR,0
0.1,0,30,2,BH,FNR,1
0.1,0,30,2,Lfdr,FDR,0
0.1,0,30,2,Lfdr,FNR,1
0.1,0,30,2,adaptBH,FNR,1
0.1,0,30,2,adaptBH,FDR,0
0.1,0,30,2,Bonf,FNR,1
0.1,0,30,2,Bonf,FDR,0
0.1,0,30,2,None,FNR,1
0.1,0,30,2,None,FDR,1
0.1,0.2,30,2,BH,FDR,0
0.1,0.2,30,2,BH,FNR,1
0.1,0.2,30,2,Lfdr,FDR,0
0.1,0.2,30,2,Lfdr,FNR,1
0.1,0.2,30,2,adaptBH,FNR,1
0.1,0.2,30,2,adaptBH,FDR,0
0.1,0.2,30,2,Bonf,FNR,1
0.1,0.2,30,2,Bonf,FDR,0
0.1,0.2,30,2,None,FNR,1
0.1,0.2,30,2,None,FDR,0
0.1,0.4,30,2,BH,FDR,0
